h3_cell,hour,day_of_week,violation_count_slot,h3_total_violations,h3_unique_vehicles,h3_hour_density,is_weekend,at_junction_pct,two_wheeler_pct,car_pct,auto_pct,no_parking_pct,wrong_parking_pct,main_road_pct,h3_risk_tier
8860144a65fffff,8,6,2,2,2,2,1,0.0,0.0,0.0,0.5,1.0,1.0,0.0,safe
8860144b4dfffff,5,2,19,19,2,19,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,safe
8860144b59fffff,8,6,1,1,1,1,1,0.0,0.0,0.0,1.0,0.0,1.0,0.0,safe
8860144b5bfffff,3,4,1,3,2,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,safe
8860144b5bfffff,11,3,1,3,2,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,safe
8860144b5bfffff,13,3,1,3,2,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,safe
8860145109fffff,9,6,1,1,1,1,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,safe
886014511dfffff,6,2,1,1,1,1,0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,safe
8860145121fffff,7,6,4,8,4,4,1,0.0,0.0,0.75,0.25,1.0,0.0,1.0,safe
8860145121fffff,11,6,3,8,4,3,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,safe
8860145121fffff,12,1,1,8,4,1,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,safe
8860145123fffff,11,6,20,27,2,20,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,safe
8860145123fffff,12,1,7,27,2,7,0,0.0,1.0,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,safe
8860145125fffff,6,2,1,13,5,1,0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,safe
8860145125fffff,10,3,4,13,5,4,0,0.0,0.0,0.75,0.25,0.0,1.0,0.0,safe
8860145125fffff,11,6,1,13,5,1,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,safe
8860145125fffff,12,1,1,13,5,2,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,safe
8860145125fffff,12,6,1,13,5,2,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,safe
8860145125fffff,13,0,1,13,5,5,0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,safe
